##################################
# EASTERN ORTHODOX FLAVOR EVENTS #
##################################

# For Greek content, see the "grefm" module
# For Turkish content, see the "turkfm" module
# For Balkan Nations content, see the "balkfm" module
# For Orthodox Church content, see the "eocfm" module

###################################################

namespace = eocfm

###################################################

####	TABLE OF CONTENTS	####	#TOC

# You can use the #EOC_ comments to ctrl+F your way through the event list
# The ## before an event indicates content not yet implemented; the >> indicates an event being moved in from another event module/location


##  EOC0  MECHANICAL & TECHNICAL EVENTS  Events 001-999  ##

## BLOCK 00: Technical Events ##
#0001-0009 - The Scripting Dumpster Events
#	0001 - ##The Partiarch's Variable Dumpster Fire
#	0002 - 
#	0003 - 
#	0004 - 
#	0005 - 
#	0006 - 
#	0007 - 
#	0008 - 
#	0009 - 

#0010-0019 - Holy Site PM Events I
#	0010 - Rome PM Switch
#	0011 - Santiago PM Switch
#	0012 - Paris PM Switch
#	0013 - Koln PM Switch
#	0014 - Vienna PM Switch
#	0015 - Constantinopole PM Switch
#	0016 - Antioch PM Switch
#	0017 - Jerusalem PM Switch
#	0018 - Alexandria PM Switch
#	0019 - Moscow PM Switch

#0020-0029 - Holy Site PM Events II
#	0020 - Coptic Alexandria PM Switch
#	0021 - Syriac Alexandria PM Switch
#	0022 - Etchmiadzin PM Switch
#	0023 - Addis Ababa PM Switch
#	0024 - Qudshanis PM Switch
#	0025 - Elysium PM Switch
#	0026 - Tututepec PM Switch
#	0027 - Cahokia PM Switch
#	0028 - 
#	0029 - 

## BLOCK 01: Schism Events ##
#0100-0109 - General Schism Events
#	0100 - Country Declaration of Schism
#	0109 - Autocephaly of the National Church

#0110-0119 - Catholic Schism Events

#0120-0129 - Orthodox Schism Events
#	0120 - Traditionalists March in Capital (Stall Event)
#	0121 - A Church for the Nation (Progress Event)
#	0122 - Minority Adherents Seek Protections (Debate Event)
#	0123 - Patriarch Denounces Schism (Stall Event)
#	0124 - Liturgical Language (Debate Event)
#	0125 - Ecclesiatic Purges (Advance Event)
#	0126 - Promoting Local Bishops (Advance Event)
#	0127 - Monastic Brawls (Stall Event)
#	0128 - Agitator Condemns Schism (Stall Event)
#	0129 - Prominent Priest Assassinated (Stall Event)

#0130-0139 - Oriental Schism Events

#0140-0149 - Elysian Schism Events

## BLOCK 02: Seat Integration Events ##
#0200-0209 - Seat Integration Narrative Events
#	0200 - State Authority Asserted Over Rome
#	0201 - State Authority Asserted Over Constantinopole
#	0202 - State Authority Asserted Over Coptic Alexandria
#	0203 - State Authority Asserted Over Elysium
#	0205 - 
#	0206 - 
#	0207 - 
#	0208 - 
#	0209 - Control Secured Over Seat

#0210-0219 - Seat Integration Random Events
#	0210 - Seat Integration Disputed (Part 1)
#	0211 - Seat Integration Disputed (Part 2)

## BLOCK 03: Great Mending Events ##
#0300-0309 - Mending Events
#	0300 - The Council of Unification
#	0309 - The Supreme Pontiff of the Universal Church

## BLOCK 04: Crusade Events 
#0400-0409 - Crusade Events
#	0400 - The X Crusade
#	0401 - Victorious Crusade
#	0402 - Failed Crusade

#0410-0419 - Pagan Site Capture Events
#	0410 - ##The Hagia Sohpia Liberated
#	0411 - The Capture of the Great Mosque


